Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34689,100,2024-06-23 10:39:32,2024-06-23 16:48:45,55.38,-0.07,54.88,-1.91,0.41,2.13,0.38,2.02,22153.0,48.42973560444445,55.14144911166667,51.65486780222223,55.260724555833335
34690,100,2024-06-23 18:08:08,2024-06-23 22:33:38,58.36,-0.07,57.11,-1.37,0.82,2.57,0.74,2.52,15930.0,53.647849025,58.1792299,55.3789245125,58.269614950000005
34691,100,2024-06-24 00:30:38,2024-06-24 06:47:04,54.55,-0.18,54.66,-1.52,0.46,2.32,0.4,2.18,22586.0,49.447452346666665,53.93396685,52.05372617333333,54.241983425
34692,100,2024-06-24 07:59:46,2024-06-24 09:18:20,55.46,-0.18,58.57,-0.04,0.74,2.81,0.54,3.02,4714.0,58.53932233555555,55.32928078,58.55466116777778,55.39464039
34693,100,2024-06-24 10:43:00,2024-06-24 17:14:57,55.57,-0.06,57.15,-0.99,0.4,2.1,0.38,2.09,23517.0,53.454009487499995,55.352193385,55.30200474375,55.4610966925
34694,100,2024-06-24 18:44:00,2024-06-24 23:30:12,56.42,1.47,60.51,-0.21,0.52,2.09,0.63,2.51,17172.0,59.903871329999994,60.37611398000001,60.206935664999996,58.39805699
34695,100,2024-06-25 01:04:59,2024-06-25 01:06:17,58.18,-0.18,60.94,-0.04,0.74,2.12,0.54,2.8,78.0,60.93947185333333,58.17773098,60.939735926666664,58.17886549
34696,100,2024-06-25 02:17:13,2024-06-25 14:25:18,62.46,-0.17,61.71,-1.58,0.21,2.09,0.18,1.83,43685.0,49.87842740833333,61.171510925,55.794213704166665,61.8157554625
34700,100,2024-06-25 19:08:02,2024-06-26 01:52:33,55.22,0.04,57.99,-0.29,0.4,2.2,0.36,2.3,24271.0,56.856200460833335,55.368916068888886,57.423100230416665,55.294458034444446
34701,100,2024-06-26 03:32:20,2024-06-26 09:53:39,59.41,-0.18,49.71,-0.12,0.51,2.62,0.54,3.43,22879.0,49.33089497,58.73037930499999,49.520447485000005,59.07018965249999
34702,100,2024-06-26 11:35:30,2024-06-26 17:06:48,57.72,-2.06,59.69,-0.96,0.77,2.29,0.65,1.63,19878.0,56.52595248,51.154561640000004,58.10797624,54.43728082
34703,100,2024-06-26 18:35:38,2024-06-26 18:51:05,54.87,-0.18,58.59,-0.04,0.74,2.71,0.54,2.4,927.0,58.583965230000004,54.844567755,58.586982615000004,54.857283877499995
34708,100,2024-06-27 03:21:18,2024-06-27 06:35:44,53.18,-0.18,64.31,-0.04,0.74,3.12,0.54,2.69,11666.0,64.22663994888889,52.86980106,64.26831997444444,53.02490053
34712,100,2024-06-27 16:30:25,2024-06-27 18:45:42,54.68,-0.18,53.29,-0.04,0.74,2.26,0.54,2.47,8117.0,53.24193834111111,54.458081220000004,53.26596917055555,54.56904061
34713,100,2024-06-27 20:23:55,2024-06-28 02:37:52,57.68,-0.58,59.97,0.02,0.44,2.28,0.4,2.19,22437.0,60.04475260499999,55.594954519999995,60.00737630249999,56.63747726
34714,100,2024-06-28 03:55:10,2024-06-28 10:06:29,54.18,-0.26,55.3,-1.19,0.54,2.44,0.52,2.23,22279.0,51.22746068611111,53.30822273,53.263730343055556,53.744111364999995
34715,100,2024-06-28 11:30:39,2024-06-28 11:31:43,52.0,-0.18,57.0,-0.04,0.74,2.89,0.54,2.28,64.0,56.99959466666667,51.998335999999995,56.99979733333333,51.999168
34716,100,2024-06-28 13:20:55,2024-06-28 19:40:09,55.27,-0.26,53.21,-0.59,0.41,2.14,0.36,1.99,22754.0,51.225731109444446,54.361723525555554,52.21786555472222,54.81586176277778
34717,100,2024-06-28 21:00:14,2024-06-28 21:01:41,55.28,-0.18,56.18,-0.04,0.74,2.86,0.54,2.59,87.0,56.17945692666667,55.27759532,56.17972846333333,55.27879766
34718,100,1970-01-01 00:00:00,1970-01-01 00:00:00,58.57,-0.18,59.09,-0.04,0.74,3.02,0.54,3.08,0.0,59.09,58.57,59.09,58.57
34719,100,2024-06-28 23:46:05,2024-06-28 23:46:42,58.95,-0.18,57.43,-0.04,0.74,3.04,0.54,3.32,37.0,57.429763898888886,58.948909425000004,57.42988194944444,58.9494547125
34720,100,2024-06-29 01:13:02,2024-06-29 01:14:13,59.23,-0.18,57.88,-0.04,0.74,2.57,0.54,3.2,71.0,57.87954339111111,59.227897335,57.87977169555556,59.2289486675
34721,100,2024-06-29 02:35:47,2024-06-29 08:54:55,61.25,-0.63,61.86,-0.56,0.41,2.22,0.42,2.42,22748.0,59.67103578666667,58.81169875,60.76551789333334,60.030849375
34722,100,2024-06-29 10:18:31,2024-06-29 16:33:17,57.72,-0.6,58.81,-0.77,0.41,2.16,0.39,2.2,22486.0,55.98152978277778,55.556846799999995,57.39576489138889,56.63842339999999
34723,100,1970-01-01 00:00:00,1970-01-01 00:00:00,57.65,-0.18,56.64,-0.04,0.74,2.53,0.54,3.24,0.0,56.64,57.65,56.64,57.65
34725,100,2024-06-29 20:05:17,2024-06-30 02:22:06,59.12,-1.0,58.8,0.12,0.42,2.08,0.39,2.19,22609.0,59.2431364,55.40709977777777,59.0215682,57.26354988888889
34726,100,2024-06-30 03:44:25,2024-06-30 09:53:02,54.81,-0.28,57.83,-0.98,0.72,2.15,0.72,2.23,22117.0,54.34820670055556,53.86715229,56.08910335027778,54.338576145000005
34727,100,2024-06-30 11:08:58,2024-06-30 17:24:20,54.32,0.09,56.32,-0.9,0.38,2.04,0.37,1.95,22522.0,53.1489024,54.625848760000004,54.734451199999995,54.47292438
34728,100,2024-06-30 18:40:24,2024-07-01 00:58:09,54.67,-0.53,63.61,-0.56,0.4,2.16,0.36,2.04,22665.0,61.36732343333333,52.845775995833336,62.48866171666667,53.75788799791667
34729,100,2024-07-01 02:42:19,2024-07-01 05:26:38,57.32,-0.18,59.47,-0.04,0.74,2.7,0.54,2.82,9859.0,59.40485391888889,57.03744106,59.437426959444444,57.17872053
34732,100,2024-07-01 12:47:33,2024-07-01 19:01:18,60.48,-0.99,58.39,-0.12,0.42,2.07,0.43,2.43,22425.0,57.95353475,56.750274,58.171767375,58.615137
34733,100,2024-07-01 20:49:33,2024-07-02 03:00:26,58.96,-0.73,57.97,-0.75,0.38,1.99,0.38,2.14,22253.0,55.28248664583333,56.299480771111114,56.626243322916665,57.62974038555556
34734,100,2024-07-02 04:23:21,2024-07-02 12:09:49,59.07,-0.72,58.28,-0.34,0.29,1.94,0.29,2.0,27988.0,56.739478284444445,55.76349768,57.50973914222222,57.41674884
34736,100,2024-07-03 01:30:19,2024-07-03 07:49:46,61.42,-1.39,55.18,-0.04,0.37,1.85,0.39,2.22,22767.0,55.040412993333334,56.020818598333335,55.11020649666666,58.72040929916667
34737,100,2024-07-03 09:03:18,2024-07-03 09:04:44,57.13,-0.18,53.93,-0.04,0.74,2.58,0.54,2.7,86.0,53.92948466888889,57.12754341,53.92974233444444,57.128771705000005
34738,100,2024-07-03 10:20:34,2024-07-03 13:56:08,56.45,-0.18,56.26,-0.04,0.74,2.53,0.54,2.96,12934.0,56.17914812888889,56.08493785,56.219574064444444,56.267468925
34742,100,2024-07-03 17:20:21,2024-07-03 23:50:12,55.43,-0.77,59.05,-0.61,0.37,1.94,0.38,2.21,23391.0,56.70956801249999,52.6567955275,57.87978400624999,54.04339776375
34743,100,2024-07-04 01:11:56,2024-07-04 01:12:38,57.17,-0.18,55.72,-0.04,0.74,9.15,0.54,2.85,42.0,55.71973997333333,57.16879943,55.719869986666666,57.169399715
34747,100,2024-07-04 14:00:35,2024-07-04 20:13:03,59.06,-0.49,52.08,-0.27,1.9,10.35,0.4,2.27,22348.0,51.20708712,57.26350635777778,51.64354356,58.16175317888889
34748,100,2024-07-04 21:51:11,2024-07-04 22:51:09,60.75,-0.18,55.4,-0.04,0.74,4.1,0.54,3.25,3598.0,55.37785231111111,60.640710750000004,55.38892615555555,60.695355375000005
34750,100,2024-07-05 02:18:16,2024-07-05 05:59:12,59.82,-0.18,54.17,-0.04,0.74,2.83,0.54,3.11,13256.0,54.090213608888895,59.42351304,54.13010680444445,59.621756520000005
34751,100,2024-07-05 07:20:20,2024-07-05 14:14:58,59.1,-0.66,60.87,-0.35,0.41,2.52,0.38,2.58,24878.0,59.39774069166666,56.4044687,60.13387034583333,57.75223435
34755,100,2024-07-05 19:42:21,2024-07-05 19:57:39,61.17,-0.18,57.51,-0.04,0.74,2.74,0.54,3.11,918.0,57.50413398,61.14192297,57.50706699,61.155961485000006
34756,100,2024-07-05 21:21:34,2024-07-06 05:24:13,56.75,-0.31,56.82,-0.2,0.35,2.19,0.33,2.17,28959.0,55.9058609,55.33482997916667,56.36293045,56.042414989583335
34757,100,2024-07-06 06:39:50,2024-07-06 13:03:17,55.75,-0.74,56.31,0.21,0.41,2.12,0.38,2.16,23007.0,57.06572243250001,53.11346170833333,56.687861216250006,54.431730854166666
34758,100,2024-07-06 15:01:22,2024-07-06 21:46:53,51.21,-0.7,59.15,-1.3,0.37,2.09,0.35,2.09,24331.0,53.9529659861111,48.787240675,56.55148299305555,49.9986203375
34760,100,2024-07-07 00:30:10,2024-07-07 07:37:04,55.16,-0.76,60.63,-0.4,0.35,2.0,0.33,2.01,25614.0,58.9044702,52.17727816,59.7672351,53.66863908
34761,100,2024-07-07 08:53:15,2024-07-07 08:54:01,52.77,-0.18,56.66,-0.04,0.74,2.63,0.54,2.64,46.0,56.65971040444444,52.76878629,56.65985520222222,52.769393145
34762,100,2024-07-07 10:04:26,2024-07-07 12:59:39,55.91,-0.18,58.03,-0.04,0.74,2.77,0.54,2.84,10513.0,57.96221451222222,55.616109085,57.99610725611111,55.7630545425
34763,100,2024-07-07 14:29:36,2024-07-07 14:30:32,50.33,-0.18,55.29,-0.04,0.74,2.62,0.54,2.78,56.0,55.28965597333333,50.32859076,55.289827986666666,50.32929538
34764,100,2024-07-07 17:31:07,2024-07-08 01:23:14,54.54,-0.11,57.63,-0.5,0.32,2.18,0.31,2.23,28327.0,55.36265970833334,54.067930545,56.496329854166675,54.3039652725
34767,100,2024-07-08 04:45:47,2024-07-08 10:51:30,57.05,-0.69,59.45,-1.17,0.52,2.41,0.49,2.37,21943.0,55.210338112500004,54.650624379166665,57.33016905625,55.850312189583335
34768,100,2024-07-08 19:08:00,2024-07-08 20:03:28,54.29,-0.18,51.38,-0.04,0.74,3.54,0.54,2.65,3328.0,51.36100081777778,54.19966144,51.37050040888889,54.244830719999996
34769,100,2024-07-08 23:03:26,2024-07-09 15:25:26,56.81,-0.63,57.93,-0.68,0.14,2.05,0.13,1.98,58920.0,51.4827772,50.9523209,54.7063886,53.881160449999996
34770,100,2024-07-09 18:01:50,2024-07-10 01:41:08,49.19,-0.04,57.48,-0.06,0.34,2.16,0.31,2.06,27558.0,57.215994359999996,49.03938022,57.34799717999999,49.11469011
34771,100,2024-07-10 03:28:15,2024-07-10 07:02:02,52.21,-0.18,56.55,-0.04,0.74,3.27,0.54,2.72,12827.0,56.46940368333333,51.875151165000005,56.50970184166667,52.04257558250001
34781,100,2024-07-10 21:31:58,2024-07-10 23:47:10,52.28,-0.18,50.48,-0.04,0.74,2.81,0.54,2.67,8112.0,50.434500693333334,52.06795232,50.45725034666667,52.17397616
34782,100,2024-07-11 02:13:42,2024-07-11 08:50:39,56.05,-0.14,55.5,-0.5,0.41,2.24,0.39,2.21,23817.0,53.66410625,55.53085555833333,54.582053125,55.79042777916666
34785,100,2024-07-11 11:38:14,2024-07-11 18:25:36,49.15,0.18,51.85,0.04,0.38,2.12,0.35,2.06,24442.0,51.99081307777778,49.750662150000004,51.92040653888889,49.450331075
34786,100,2024-07-11 23:55:30,2024-07-11 23:56:32,52.2,-0.18,58.41,-0.04,0.74,3.17,0.54,2.8,62.0,58.40959762,52.1983818,58.40979881,52.199190900000005
34787,100,2024-07-12 01:30:50,2024-07-12 07:43:31,50.12,0.39,50.67,0.17,0.4,1.97,0.41,2.07,22361.0,51.20504282750001,51.334127763333335,50.937521413750005,50.727063881666666
34788,100,2024-07-12 09:04:24,2024-07-12 14:14:59,46.15,-0.8,47.26,-0.22,0.42,1.82,0.45,2.07,18635.0,46.721800494444444,44.23887722222222,46.99090024722222,45.19443861111111
34790,100,2024-07-12 22:04:32,2024-07-13 04:31:00,54.72,-0.66,54.37,-0.35,0.37,1.94,0.36,2.01,23188.0,53.144288761111106,52.39377984,53.75714438055555,53.55688992
34794,100,2024-07-13 08:58:22,2024-07-13 15:08:43,51.6,-0.13,52.73,0.02,0.38,1.92,0.39,1.98,22221.0,52.795095185,51.185948700000004,52.7625475925,51.39297435
34796,100,2024-07-13 19:30:34,2024-07-14 01:45:21,49.03,0.19,52.65,-0.44,0.41,2.09,0.44,2.4,22487.0,51.20296155,49.61189484972222,51.926480775,49.32094742486111
34797,100,2024-07-14 03:28:17,2024-07-14 03:29:47,48.76,-0.18,50.14,-0.04,0.74,2.55,0.54,2.49,90.0,50.1394986,48.7578058,50.139749300000005,48.758902899999995
34798,100,2024-07-14 05:06:26,2024-07-14 05:07:02,50.44,-0.18,53.93,-0.04,0.74,2.62,0.54,2.75,36.0,53.92978428,50.43909208,53.92989214,50.439546039999996
34799,100,2024-07-14 06:33:20,2024-07-14 12:50:07,49.02,0.07,54.08,0.28,0.41,2.05,0.39,2.08,22607.0,55.03090065777778,49.23548238833334,54.55545032888889,49.127741194166674
34800,100,2024-07-14 14:21:50,2024-07-14 19:53:30,56.6,-0.25,57.09,-0.64,0.78,2.13,0.71,2.24,19900.0,55.07028266666667,55.817819444444446,56.08014133333334,56.208909722222224
34803,100,2024-07-15 02:09:48,2024-07-15 08:25:11,51.01,-0.23,48.68,-0.08,0.39,1.95,0.39,2.09,22523.0,48.43635119111111,50.27598168638888,48.558175595555554,50.64299084319444
34804,100,2024-07-15 09:37:42,2024-07-15 15:55:04,50.37,-0.09,50.98,-0.38,0.4,2.05,0.38,2.1,22642.0,49.761583664444444,50.084880615,50.370791832222224,50.227440307500004
34805,100,2024-07-15 19:43:37,2024-07-16 01:59:43,51.93,-0.34,49.76,0.24,0.4,2.01,0.35,1.83,22566.0,50.50858944,50.823250529999996,50.13429472,51.376625265
34806,100,2024-07-16 03:30:32,2024-07-16 04:46:16,48.96,0.56,50.45,-1.64,1.69,2.0,1.75,2.13,4544.0,49.40566257777778,49.30607104,49.927831288888896,49.13303552
34807,100,2024-07-16 06:12:38,2024-07-16 06:56:19,53.1,-0.18,46.49,-0.04,0.74,3.03,0.54,3.49,2621.0,46.47646107888889,53.03041245,46.48323053944445,53.065206225
34809,100,2024-07-16 09:51:55,2024-07-16 13:10:09,48.82,-1.15,50.01,-0.87,0.72,2.22,0.67,2.28,11894.0,48.572520895,46.96509766111111,49.291260447499994,47.892548830555555
34810,100,2024-07-16 15:30:58,2024-07-16 20:25:42,49.36,0.29,47.3,0.63,0.74,2.05,0.71,2.23,17684.0,48.7637931,50.06315513777778,48.03189655,49.711577568888885
34815,100,2024-07-17 01:40:15,2024-07-17 11:45:57,55.82,0.02,53.93,-0.69,0.26,1.97,0.25,1.97,36342.0,50.173478885,55.93270058,52.0517394425,55.876350290000005
34818,100,2024-07-18 05:11:43,2024-07-18 13:34:18,50.12,-0.6,51.38,0.03,0.29,1.97,0.28,2.03,30155.0,51.509113658333334,47.601052333333335,51.44455682916667,48.860526166666666
34826,100,2024-07-19 00:21:09,2024-07-19 01:35:13,53.6,-0.18,55.26,-0.04,0.74,3.06,0.54,2.57,4444.0,55.232713839999995,53.48090080000001,55.24635692,53.540450400000005
34829,100,2024-07-19 04:29:20,2024-07-19 11:31:39,57.28,0.37,55.16,0.06,0.35,1.92,0.37,2.19,25339.0,55.39294987333332,58.77173508444445,55.27647493666666,58.02586754222223
34830,100,2024-07-19 13:56:56,2024-07-19 18:40:45,53.7,0.03,57.11,-0.3,0.54,2.67,0.45,2.05,17029.0,56.29956150833333,53.776204775000004,56.70478075416666,53.73810238750001
34837,100,2024-07-20 05:59:18,2024-07-20 12:14:07,57.53,-0.31,58.69,0.13,0.41,2.0,0.5,2.51,22489.0,59.16662312027777,56.415901186944446,58.92831156013888,56.97295059347222
34838,100,2024-07-20 14:33:13,2024-07-20 21:17:39,52.05,0.21,59.76,-0.34,0.38,2.05,0.37,2.03,24266.0,58.39042696,52.78677642499999,59.07521348,52.41838821249999
34840,100,2024-07-20 23:29:15,2024-07-20 23:30:07,53.67,-0.18,55.52,-0.04,0.74,2.79,0.54,2.87,52.0,55.51967921777778,53.66860458,55.51983960888889,53.669302290000005
34841,100,2024-07-21 00:43:03,2024-07-21 09:32:38,58.3,-0.86,56.96,0.18,0.3,2.16,0.29,2.15,31775.0,57.864952,53.87462513888889,57.412476,56.08731256944444
34842,100,2024-07-21 10:51:35,2024-07-21 17:56:28,52.32,-0.14,54.36,0.57,0.38,2.16,0.35,2.12,25493.0,56.554182510000004,51.801302426666666,55.457091255,52.06065121333333
34844,100,2024-07-21 21:41:24,2024-07-22 04:22:25,54.74,-0.3,53.2,0.17,0.4,2.27,0.37,2.09,24061.0,53.80446578888889,53.64241738333333,53.50223289444445,54.19120869166667
34845,100,2024-07-22 05:34:15,2024-07-22 13:40:36,55.2,0.27,53.86,-0.33,0.32,2.12,0.31,2.07,29181.0,52.419285395,56.408093400000006,53.1396426975,55.8040467
34846,100,2024-07-22 15:18:43,2024-07-22 23:08:37,52.09,0.13,55.47,0.28,0.33,2.07,0.31,2.02,28194.0,56.686383140000004,52.620336971666674,56.07819157,52.35516848583334
34849,100,2024-07-23 02:02:48,2024-07-23 10:26:06,49.06,-0.01,51.55,1.42,0.64,2.09,0.59,2.21,30198.0,57.69034388333333,49.01884683666667,54.62017194166666,49.039423418333335
34852,100,2024-07-23 18:51:56,2024-07-24 02:29:14,53.99,0.19,49.93,0.62,0.31,1.82,0.31,2.0,27438.0,52.28940886333333,54.771838188333334,51.109704431666664,54.38091909416667
34853,100,2024-07-24 03:50:43,2024-07-24 19:38:11,52.7,-0.02,50.46,0.17,0.14,1.64,0.15,1.79,56848.0,51.81459309333333,52.533561688888895,51.13729654666666,52.61678084444445
34859,100,2024-07-25 04:11:32,2024-07-25 11:14:05,56.01,-0.41,54.49,-0.12,0.33,1.89,0.37,2.17,25353.0,54.02950501,54.3927532575,54.259752505,55.20137662875
34860,100,2024-07-25 12:45:05,2024-07-25 12:47:55,54.84,-0.18,53.35,-0.04,0.74,2.41,0.54,2.62,170.0,53.348992277777775,54.8353386,53.34949613888889,54.8376693
34862,100,2024-07-25 15:19:52,2024-07-25 22:21:47,50.99,0.4,52.13,0.89,0.34,1.87,0.33,1.87,25315.0,55.39251984861111,52.42423538888889,53.761259924305556,51.70711769444445
34863,100,2024-07-25 23:42:32,2024-07-26 06:40:34,49.1,0.39,50.16,0.74,0.35,1.91,0.35,1.96,25082.0,52.74612141333333,50.43415338333333,51.45306070666666,49.76707669166667
34866,100,1970-01-01 00:00:00,1970-01-01 00:00:00,52.12,-0.18,50.69,-0.04,0.74,2.46,0.54,2.74,0.0,50.69,52.12,50.69,52.12
34868,100,2024-07-26 11:04:48,2024-07-26 18:08:01,49.99,0.59,51.53,0.69,0.34,1.88,0.33,1.89,25393.0,54.037960805833336,52.07039911472223,52.78398040291667,51.030199557361115
34870,100,2024-07-26 20:32:08,2024-07-27 01:25:39,48.76,0.17,55.81,0.31,0.69,2.08,0.62,1.97,17611.0,56.656360200277774,49.16550305888889,56.23318010013889,48.962751529444446
34872,100,2024-07-27 04:46:49,2024-07-27 11:12:02,50.7,0.53,47.56,0.62,0.37,1.83,0.36,1.82,23113.0,49.453160148888884,52.42519284166667,48.50658007444444,51.56259642083334
34873,100,2024-07-27 12:35:34,2024-07-27 19:33:12,51.01,0.44,55.16,-0.35,0.34,1.92,0.33,1.87,25058.0,53.81619514444444,52.572254931111104,54.488097572222216,51.79112746555555
34874,100,2024-07-27 21:22:11,2024-07-28 05:57:40,48.67,0.33,49.93,1.3,0.36,1.75,0.35,1.88,30929.0,55.50658461388888,50.04987156083334,52.71829230694444,49.35993578041667
34875,100,2024-07-28 07:17:44,2024-07-28 07:21:04,52.28,-0.18,51.05,-0.04,0.74,2.36,0.54,2.76,200.0,51.04886555555555,52.274772,51.049432777777774,52.277386
34877,100,2024-07-28 08:59:09,2024-07-28 14:12:11,51.2,0.68,51.23,0.75,0.45,1.89,0.41,1.78,18782.0,53.23458720833333,53.016428088888894,52.232293604166664,52.10821404444445
34878,100,2024-07-28 16:09:38,2024-07-28 22:28:20,50.87,0.56,52.09,1.04,0.4,1.91,0.38,1.92,22722.0,55.50925705333333,52.66801710666667,53.799628526666666,51.769008553333336
34880,100,2024-07-29 04:41:19,2024-07-29 11:14:15,51.56,-0.0,50.98,0.18,0.37,1.91,0.36,1.93,23576.0,51.580952239999995,51.56,51.280476119999996,51.56
34881,100,2024-07-29 12:37:57,2024-07-29 14:40:36,50.16,-0.18,50.12,-0.04,0.74,2.5,0.54,2.62,7359.0,50.07901854666666,49.97543628,50.099509273333325,50.06771814
34884,100,2024-07-30 06:38:09,2024-07-30 13:53:49,54.12,-0.02,51.49,0.05,0.33,1.9,0.34,2.1,26140.0,51.67693730555556,54.041405733333335,51.58346865277778,54.08070286666667
34887,100,2024-07-31 01:56:37,2024-07-31 07:13:46,51.65,-0.34,52.08,0.3,0.43,1.83,0.48,2.13,19029.0,52.9058586,50.72175480833334,52.4929293,51.18587740416667
34888,100,2024-07-31 08:32:49,2024-07-31 11:39:03,48.66,1.62,53.35,0.81,1.0,2.65,0.69,1.92,11174.0,54.691299025,51.10677078,54.0206495125,49.88338539
34896,100,2024-08-02 05:40:58,2024-08-02 13:50:29,49.22,0.51,55.81,0.39,0.31,2.15,0.28,1.82,29371.0,57.58579513583334,51.26799087833333,56.69789756791667,50.24399543916667
34898,100,2024-08-02 23:24:55,2024-08-02 23:26:23,54.61,-0.18,53.91,-0.04,0.74,4.52,0.54,2.34,88.0,53.909472879999996,54.60759716,53.909736439999996,54.60879858
34899,100,2024-08-03 00:41:31,2024-08-03 07:55:11,49.65,0.25,50.15,2.15,0.65,2.82,0.85,2.2,26020.0,57.94317069444444,50.54714791666667,54.04658534722222,50.09857395833333
34902,100,2024-08-03 15:03:26,2024-08-03 19:49:40,52.44,0.31,54.9,0.19,0.98,3.06,0.64,2.17,17174.0,55.397616649999996,53.21552059333333,55.148808325,52.82776029666667
34905,100,1970-01-01 00:00:00,1970-01-01 00:00:00,47.72,-0.18,45.18,-0.04,0.74,2.13,0.54,2.25,0.0,45.18,47.72,45.18,47.72
34906,100,2024-08-04 08:15:38,2024-08-04 17:59:24,44.22,-0.2,50.39,0.35,0.34,2.56,0.23,1.67,35026.0,52.105933469444444,43.35952793333333,51.247966734722226,43.78976396666667
34907,100,2024-08-04 19:27:16,2024-08-05 00:35:20,55.04,-0.52,63.25,-0.86,0.8,3.07,0.48,2.01,18484.0,60.45711894444444,53.570480924444446,61.853559472222216,54.30524046222222
34908,100,2024-08-05 01:57:11,2024-08-05 08:11:48,50.98,-0.25,54.42,0.06,0.36,1.88,0.39,1.96,22477.0,54.62386639,50.18425176388889,54.521933195,50.58212588194444
34909,100,2024-08-05 09:28:58,2024-08-05 15:53:51,51.21,0.1,54.3,0.1,0.34,1.9,0.39,1.97,23093.0,54.64831941666666,51.538497925,54.47415970833333,51.374248962500005
34910,100,2024-08-05 18:31:22,2024-08-06 00:50:54,51.24,0.47,53.5,0.33,0.37,2.08,0.37,1.9,22772.0,54.61677683333334,52.76337089333333,54.05838841666667,52.00168544666667
34911,100,2024-08-06 02:23:03,2024-08-06 02:52:29,52.76,-0.18,54.73,-0.04,0.74,2.37,0.54,1.73,1766.0,54.719260757777775,52.71341292,54.72463037888889,52.73670646
34912,100,2024-08-06 05:17:51,2024-08-06 10:25:04,55.45,1.44,57.0,0.94,0.69,2.32,0.7,1.99,18433.0,59.74344483333333,59.5384394,58.371722416666664,57.4942197
34913,100,2024-08-06 11:49:32,2024-08-06 15:39:47,51.83,-0.18,57.35,-0.04,0.74,2.72,0.54,2.61,13815.0,57.261967750000004,51.471984275000004,57.305983875,51.6509921375
34915,100,1970-01-01 00:00:00,1970-01-01 00:00:00,54.42,-0.18,54.2,-0.04,0.74,3.01,0.54,2.86,0.0,54.2,54.42,54.2,54.42
34917,100,2024-08-07 00:17:37,2024-08-07 06:41:14,58.19,-0.18,59.41,0.75,0.56,2.54,0.58,2.32,23017.0,62.25883327083333,57.520320385,60.83441663541666,57.855160192499994
34925,100,2024-08-08 01:09:14,2024-08-08 13:27:27,50.69,0.05,30.91,0.23,0.37,5.27,0.19,1.73,44293.0,31.78470062472222,51.001835023611115,31.347350312361108,50.84591751180555
34929,100,2024-08-09 00:39:07,2024-08-09 03:53:40,48.27,0.39,19.18,-0.23,0.89,2.21,0.73,2.19,11673.0,19.036960354999998,48.8804103525,19.1084801775,48.57520517625
34931,100,2024-08-09 06:16:11,2024-08-09 09:14:53,52.75,-0.18,55.21,-0.04,0.74,3.69,0.54,2.57,10722.0,55.14422648666667,52.46720725,55.17711324333334,52.608603625
34933,100,2024-08-09 12:54:23,2024-08-09 20:43:18,52.9,0.13,56.23,-0.13,0.33,2.39,0.3,1.87,28135.0,55.65871100972222,53.437456652777776,55.94435550486111,53.16872832638889
