Fill,Type,"Beam Energy, GeV",Physics On,Fill Length,Blue Avrg.,Blue Avrg. Error,Blue P_0,Blue P_0 Error,"Blue Slope, %/h","Blue Slope, %/h Error",Yellow Avrg.,Yellow Avrg. Error,Yellow P_0,Yellow P_0 Error,"Yellow Slope, %/h","Yellow Slope, %/h Error",Blue Slope Error,Yellow Slope Error
34668,phys,100.0,2024-06-20 03:56:40,15338.0,59.29,2.39,62.8,2.15,-0.74,0.53,57.35,2.18,60.59,1.92,0.07,0.5,False,False
34681,phys,100.0,2024-06-21 19:17:23,30490.0,55.11,2.36,56.71,2.12,-0.74,0.27,51.71,2.42,56.11,2.29,-1.67,0.28,False,False
34682,undef,24.0,,,,,,,,,,,,,,,False,False
34683,undef,24.0,,,,,,,,,,,,,,,False,False
34684,undef,24.0,,,,,,,,,,,,,,,False,False
34685,phys,100.0,2024-06-22 07:36:46,22485.0,59.58,2.67,62.97,2.37,-0.49,0.43,50.62,2.19,56.06,2.01,-2.29,0.39,False,False
34687,phys,100.0,2024-06-22 16:15:06,22197.0,57.87,2.52,59.35,2.24,-0.22,0.41,52.2,2.63,55.04,2.54,-2.51,0.43,False,False
34688,phys,100.0,2024-06-22 23:57:53,9793.0,56.73,2.27,59.97,2.09,-1.41,0.75,54.54,2.41,58.01,2.17,-2.85,0.93,False,False
34689,phys,100.0,2024-06-23 06:39:32,22153.0,54.9,2.29,55.38,2.02,-0.07,0.38,51.34,2.34,54.88,2.13,-1.91,0.41,False,False
34690,phys,100.0,2024-06-23 14:08:08,15930.0,58.24,2.95,58.36,2.52,-0.07,0.74,55.24,2.97,57.11,2.57,-1.37,0.82,False,False
34691,phys,100.0,2024-06-23 20:30:38,22586.0,54.38,2.48,54.55,2.18,-0.18,0.4,51.6,2.6,54.66,2.32,-1.52,0.46,False,False
34692,phys,100.0,2024-06-24 03:59:46,4714.0,55.46,3.02,55.46,3.02,-0.18,0.54,58.57,2.81,58.57,2.81,-0.04,0.74,True,True
34693,phys,100.0,2024-06-24 06:43:00,23517.0,55.21,2.4,55.57,2.09,-0.06,0.38,55.15,2.36,57.15,2.1,-0.99,0.4,False,False
34694,phys,100.0,2024-06-24 14:44:00,17172.0,59.02,2.97,56.42,2.51,1.47,0.63,57.62,2.35,60.51,2.09,-0.21,0.52,False,False
34695,phys,100.0,2024-06-24 21:04:59,,58.18,2.8,58.18,2.8,-0.18,0.54,60.94,2.12,60.94,2.12,-0.04,0.74,True,True
34696,phys,100.0,2024-06-24 22:17:13,43685.0,57.86,2.09,62.46,1.83,-0.17,0.18,53.66,2.27,61.71,2.09,-1.58,0.21,False,False
34700,phys,100.0,2024-06-25 15:08:02,24271.0,54.94,2.6,55.22,2.3,0.04,0.36,58.06,2.52,57.99,2.2,-0.29,0.4,False,False
34701,phys,100.0,2024-06-25 23:32:20,22879.0,59.52,3.43,59.41,3.43,-0.18,0.54,57.32,3.01,49.71,2.62,-0.12,0.51,True,False
34702,phys,100.0,2024-06-26 07:35:30,19878.0,52.19,2.36,57.72,1.63,-2.06,0.65,57.6,2.94,59.69,2.29,-0.96,0.77,False,False
34703,phys,100.0,2024-06-26 14:35:38,,54.87,2.4,54.87,2.4,-0.18,0.54,58.59,2.71,58.59,2.71,-0.04,0.74,True,True
34706,undef,24.0,,,,,,,,,,,,,,,False,False
34708,phys,100.0,2024-06-26 23:21:18,11666.0,53.18,2.69,53.18,2.69,-0.18,0.54,64.31,3.12,64.31,3.12,-0.04,0.74,True,True
34712,phys,100.0,2024-06-27 12:30:25,8117.0,54.68,2.47,54.68,2.47,-0.18,0.54,53.29,2.26,53.29,2.26,-0.04,0.74,True,True
34713,phys,100.0,2024-06-27 16:23:55,22437.0,55.33,2.47,57.68,2.19,-0.58,0.4,60.89,2.63,59.97,2.28,0.02,0.44,False,False
34714,phys,100.0,2024-06-27 23:55:10,22279.0,52.81,2.75,54.18,2.23,-0.26,0.52,52.89,2.89,55.3,2.44,-1.19,0.54,False,False
34715,phys,100.0,2024-06-28 07:30:39,,52.0,2.28,52.0,2.28,-0.18,0.54,57.0,2.89,57.0,2.89,-0.04,0.74,True,True
34716,phys,100.0,2024-06-28 09:20:55,22754.0,54.43,2.27,55.27,1.99,-0.26,0.36,52.26,2.45,53.21,2.14,-0.59,0.41,False,False
34717,phys,100.0,2024-06-28 17:00:14,,55.28,2.59,55.28,2.59,-0.18,0.54,56.18,2.86,56.18,2.86,-0.04,0.74,True,True
34718,undef,100.0,,,58.57,3.08,58.57,3.08,-0.18,0.54,59.09,3.02,59.09,3.02,-0.04,0.74,True,True
34719,phys,100.0,2024-06-28 19:46:05,,58.95,3.32,58.95,3.32,-0.18,0.54,57.43,3.04,57.43,3.04,-0.04,0.74,True,True
34720,phys,100.0,2024-06-28 21:13:02,,59.23,3.2,59.23,3.2,-0.18,0.54,57.88,2.57,57.88,2.57,-0.04,0.74,True,True
34721,phys,100.0,2024-06-28 22:35:47,22748.0,58.98,2.69,61.25,2.42,-0.63,0.42,56.81,2.54,61.86,2.22,-0.56,0.41,False,False
34722,phys,100.0,2024-06-29 06:18:31,22486.0,55.67,2.47,57.72,2.2,-0.6,0.39,58.67,2.45,58.81,2.16,-0.77,0.41,False,False
34723,undef,100.0,,,57.65,3.24,57.65,3.24,-0.18,0.54,56.64,2.53,56.64,2.53,-0.04,0.74,True,True
34724,undef,24.0,,,,,,,,,,,,,,,False,False
34725,phys,100.0,2024-06-29 16:05:17,22609.0,57.63,2.44,59.12,2.19,-1.0,0.39,59.86,2.43,58.8,2.08,0.12,0.42,False,False
34726,phys,100.0,2024-06-29 23:44:25,22117.0,54.42,3.08,54.81,2.23,-0.28,0.72,55.61,2.99,57.83,2.15,-0.98,0.72,False,False
34727,phys,100.0,2024-06-30 07:08:58,22522.0,52.84,2.26,54.32,1.95,0.09,0.37,54.91,2.3,56.32,2.04,-0.9,0.38,False,False
34728,phys,100.0,2024-06-30 14:40:24,22665.0,54.6,2.3,54.67,2.04,-0.53,0.36,59.43,2.45,63.61,2.16,-0.56,0.4,False,False
34729,phys,100.0,2024-06-30 22:42:19,9859.0,57.32,2.82,57.32,2.82,-0.18,0.54,59.47,2.7,59.47,2.7,-0.04,0.74,True,True
34732,phys,100.0,2024-07-01 08:47:33,22425.0,57.9,2.68,60.48,2.43,-0.99,0.43,57.96,2.41,58.39,2.07,-0.12,0.42,False,False
34733,phys,100.0,2024-07-01 16:49:33,22253.0,57.71,2.38,58.96,2.14,-0.73,0.38,56.73,2.26,57.97,1.99,-0.75,0.38,False,False
34734,phys,100.0,2024-07-02 00:23:21,27988.0,56.28,2.24,59.07,2.0,-0.72,0.29,55.41,2.21,58.28,1.94,-0.34,0.29,False,False
34736,phys,100.0,2024-07-02 21:30:19,22767.0,56.67,2.45,61.42,2.22,-1.39,0.39,54.63,2.18,55.18,1.85,-0.04,0.37,False,False
34737,phys,100.0,2024-07-03 05:03:18,,57.13,2.7,57.13,2.7,-0.18,0.54,53.93,2.58,53.93,2.58,-0.04,0.74,True,True
34738,phys,100.0,2024-07-03 06:20:34,12934.0,56.45,2.96,56.45,2.96,-0.18,0.54,56.26,2.53,56.26,2.53,-0.04,0.74,True,True
34742,phys,100.0,2024-07-03 13:20:21,23391.0,53.29,2.46,55.43,2.21,-0.77,0.38,57.8,2.24,59.05,1.94,-0.61,0.37,False,False
34743,phys,100.0,2024-07-03 21:11:56,,57.17,2.85,57.17,2.85,-0.18,0.54,55.54,9.15,55.72,9.15,-0.04,0.74,True,True
34744,phys,100.0,2024-07-03 22:26:05,,51.08,2.72,51.08,2.72,-0.18,0.54,,,,,-0.04,0.74,True,True
34745,phys,100.0,2024-07-03 23:45:37,20417.0,56.41,3.43,59.47,2.7,-0.99,0.81,,,,,-0.04,0.74,False,True
34747,phys,100.0,2024-07-04 10:00:35,22348.0,56.0,2.53,59.06,2.27,-0.49,0.4,54.58,11.84,52.08,10.35,-0.27,1.9,False,False
34748,phys,100.0,2024-07-04 17:51:11,,60.75,3.25,60.75,3.25,-0.18,0.54,55.4,4.1,55.4,4.1,-0.04,0.74,True,True
34750,phys,100.0,2024-07-04 22:18:16,13256.0,59.82,3.11,59.82,3.11,-0.18,0.54,54.17,2.83,54.17,2.83,-0.04,0.74,True,True
34751,phys,100.0,2024-07-05 03:20:20,24878.0,54.61,2.83,59.1,2.58,-0.66,0.38,58.88,2.84,60.87,2.52,-0.35,0.41,False,False
34755,phys,100.0,2024-07-05 15:42:21,,61.17,3.11,61.17,3.11,-0.18,0.54,57.51,2.74,57.51,2.74,-0.04,0.74,True,True
34756,phys,100.0,2024-07-05 17:21:34,28959.0,55.36,2.49,56.75,2.17,-0.31,0.33,56.65,2.54,56.82,2.19,-0.2,0.35,False,False
34757,phys,100.0,2024-07-06 02:39:50,23007.0,54.91,2.43,55.75,2.16,-0.74,0.38,57.51,2.48,56.31,2.12,0.21,0.41,False,False
34758,phys,100.0,2024-07-06 11:01:22,24331.0,50.66,2.34,51.21,2.09,-0.7,0.35,56.83,2.35,59.15,2.09,-1.3,0.37,False,False
34760,phys,100.0,2024-07-06 20:30:10,25614.0,51.93,2.27,55.16,2.01,-0.76,0.33,59.55,2.31,60.63,2.0,-0.4,0.35,False,False
34761,phys,100.0,2024-07-07 04:53:15,,52.77,2.64,52.77,2.64,-0.18,0.54,56.66,2.63,56.66,2.63,-0.04,0.74,True,True
34762,phys,100.0,2024-07-07 06:04:26,10513.0,55.91,2.84,55.91,2.84,-0.18,0.54,58.03,2.77,58.03,2.77,-0.04,0.74,True,True
34763,phys,100.0,2024-07-07 10:29:36,,50.33,2.78,50.33,2.78,-0.18,0.54,55.29,2.62,55.29,2.62,-0.04,0.74,True,True
34764,phys,100.0,2024-07-07 13:31:07,28327.0,54.65,2.52,54.54,2.23,-0.11,0.31,55.97,2.47,57.63,2.18,-0.5,0.32,False,False
34765,undef,24.0,,,,,,,,,,,,,,,False,False
34766,undef,24.0,,,,,,,,,,,,,,,False,False
34767,phys,100.0,2024-07-08 00:45:47,21943.0,56.4,2.72,57.05,2.37,-0.69,0.49,55.31,2.78,59.45,2.41,-1.17,0.52,False,False
34768,phys,100.0,2024-07-08 15:08:00,,54.29,2.65,54.29,2.65,-0.18,0.54,51.31,3.54,51.38,3.54,-0.04,0.74,True,True
34769,phys,100.0,2024-07-08 19:03:26,,50.0,2.16,56.81,1.98,-0.63,0.13,53.57,2.27,57.93,2.05,-0.68,0.14,False,False
34770,phys,100.0,2024-07-09 14:01:50,27558.0,49.81,2.34,49.19,2.06,-0.04,0.31,57.08,2.49,57.48,2.16,-0.06,0.34,False,False
34771,phys,100.0,2024-07-09 23:28:15,12827.0,52.21,2.72,52.21,2.72,-0.18,0.54,56.55,3.27,56.55,3.27,-0.04,0.74,True,True
34774,undef,24.0,,,,,,,,,,,,,,,False,False
34776,undef,24.0,,,,,,,,,,,,,,,False,False
34781,phys,100.0,2024-07-10 17:31:58,8112.0,52.28,2.67,52.28,2.67,-0.18,0.54,50.48,2.81,50.48,2.81,-0.04,0.74,True,True
34782,phys,100.0,2024-07-10 22:13:42,23817.0,54.43,2.53,56.05,2.21,-0.14,0.39,54.02,2.55,55.5,2.24,-0.5,0.41,False,False
34783,undef,24.0,,,,,,,,,,,,,,,False,False
34784,undef,24.0,,,,,,,,,,,,,,,False,False
34785,phys,100.0,2024-07-11 07:38:14,24442.0,49.11,2.34,49.15,2.06,0.18,0.35,52.14,2.46,51.85,2.12,0.04,0.38,False,False
34786,phys,100.0,2024-07-11 19:55:30,,52.2,2.8,52.2,2.8,-0.18,0.54,58.41,3.17,58.41,3.17,-0.04,0.74,True,True
34787,phys,100.0,2024-07-11 21:30:50,22361.0,51.19,2.43,50.12,2.07,0.39,0.41,51.64,2.3,50.67,1.97,0.17,0.4,False,False
34788,phys,100.0,2024-07-12 05:04:24,18635.0,42.67,2.32,46.15,2.07,-0.8,0.45,44.95,2.09,47.26,1.82,-0.22,0.42,False,False
34790,phys,100.0,2024-07-12 18:04:32,23188.0,52.41,2.27,54.72,2.01,-0.66,0.36,54.55,2.24,54.37,1.94,-0.35,0.37,False,False
34794,phys,100.0,2024-07-13 04:58:22,22221.0,51.55,2.29,51.6,1.98,-0.13,0.39,51.34,2.23,52.73,1.92,0.02,0.38,False,False
34796,phys,100.0,2024-07-13 15:30:34,22487.0,50.97,2.76,49.03,2.4,0.19,0.44,51.38,2.4,52.65,2.09,-0.44,0.41,False,False
34797,phys,100.0,2024-07-13 23:28:17,,48.76,2.49,48.76,2.49,-0.18,0.54,50.14,2.55,50.14,2.55,-0.04,0.74,True,True
34798,phys,100.0,2024-07-14 01:06:26,,50.44,2.75,50.44,2.75,-0.18,0.54,53.93,2.62,53.93,2.62,-0.04,0.74,True,True
34799,phys,100.0,2024-07-14 02:33:20,22607.0,50.85,2.39,49.02,2.08,0.07,0.39,55.27,2.4,54.08,2.05,0.28,0.41,False,False
34800,phys,100.0,2024-07-14 10:21:50,19900.0,54.73,2.92,56.6,2.24,-0.25,0.71,55.1,2.92,57.09,2.13,-0.64,0.78,False,False
34803,phys,100.0,2024-07-14 22:09:48,22523.0,49.68,2.39,51.01,2.09,-0.23,0.39,49.5,2.28,48.68,1.95,-0.08,0.39,False,False
34804,phys,100.0,2024-07-15 05:37:42,22642.0,50.28,2.39,50.37,2.1,-0.09,0.38,50.79,2.37,50.98,2.05,-0.38,0.4,False,False
34805,phys,100.0,2024-07-15 15:43:37,22566.0,49.37,2.1,51.93,1.83,-0.34,0.35,52.32,2.34,49.76,2.01,0.24,0.4,False,False
34806,phys,100.0,2024-07-15 23:30:32,4544.0,49.81,2.38,48.96,2.13,0.56,1.75,48.97,2.23,50.45,2.0,-1.64,1.69,False,False
34807,phys,100.0,2024-07-16 02:12:38,,53.2,3.49,53.1,3.49,-0.18,0.54,46.34,3.03,46.49,3.03,-0.04,0.74,True,True
34809,phys,100.0,2024-07-16 05:51:55,11894.0,47.76,2.47,48.82,2.28,-1.15,0.67,47.73,2.47,50.01,2.22,-0.87,0.72,False,False
34810,phys,100.0,2024-07-16 11:30:58,17684.0,50.22,2.78,49.36,2.23,0.29,0.71,48.26,2.7,47.3,2.05,0.63,0.74,False,False
34814,undef,24.0,,,,,,,,,,,,,,,False,False
34815,phys,100.0,2024-07-16 21:40:15,36342.0,54.6,2.3,55.82,1.97,0.02,0.25,50.42,2.27,53.93,1.97,-0.69,0.26,False,False
34818,phys,100.0,2024-07-18 01:11:43,30155.0,48.34,2.27,50.12,2.03,-0.6,0.28,50.69,2.31,51.38,1.97,0.03,0.29,False,False
34826,phys,100.0,2024-07-18 20:21:09,4444.0,53.6,2.57,53.6,2.57,-0.18,0.54,55.26,3.06,55.26,3.06,-0.04,0.74,True,True
34829,phys,100.0,2024-07-19 00:29:20,25339.0,58.11,2.53,57.28,2.19,0.37,0.37,54.04,2.26,55.16,1.92,0.06,0.35,False,False
34830,phys,100.0,2024-07-19 09:56:56,17029.0,54.55,2.29,53.7,2.05,0.03,0.45,58.35,2.92,57.11,2.67,-0.3,0.54,False,False
34831,undef,24.0,2024-07-20 01:59:18,,,,,,,,,,,,,,False,False
34832,undef,24.0,,,,,,,,,,,,,,,False,False
34833,undef,24.0,,,,,,,,,,,,,,,False,False
34834,undef,24.0,,,,,,,,,,,,,,,False,False
34836,undef,24.0,,,,,,,,,,,,,,,False,False
34837,phys,100.0,2024-07-20 01:59:18,22489.0,55.12,2.91,57.53,2.51,-0.31,0.5,57.24,2.35,58.69,2.0,0.13,0.41,False,False
34838,phys,100.0,2024-07-20 10:33:13,24266.0,54.44,2.37,52.05,2.03,0.21,0.37,59.14,2.38,59.76,2.05,-0.34,0.38,False,False
34839,undef,24.0,,,,,,,,,,,,,,,False,False
34840,phys,100.0,2024-07-20 19:29:15,,53.67,2.87,53.67,2.87,-0.18,0.54,55.52,2.79,55.52,2.79,-0.04,0.74,True,True
34841,phys,100.0,2024-07-20 20:43:03,31775.0,54.19,2.43,58.3,2.15,-0.86,0.29,57.99,2.51,56.96,2.16,0.18,0.3,False,False
34842,phys,100.0,2024-07-21 06:51:35,25493.0,53.19,2.43,52.32,2.12,-0.14,0.35,55.37,2.51,54.36,2.16,0.57,0.38,False,False
34843,undef,24.0,,,,,,,,,,,,,,,False,False
34844,phys,100.0,2024-07-21 17:41:24,24061.0,53.17,2.4,54.74,2.09,-0.3,0.37,53.96,2.62,53.2,2.27,0.17,0.4,False,False
34845,phys,100.0,2024-07-22 01:34:15,29181.0,55.2,2.41,55.2,2.07,0.27,0.31,51.67,2.44,53.86,2.12,-0.33,0.32,False,False
34846,phys,100.0,2024-07-22 11:18:43,28194.0,52.81,2.34,52.09,2.02,0.13,0.31,53.91,2.42,55.47,2.07,0.28,0.33,False,False
34847,undef,24.0,,,,,,,,,,,,,,,False,False
34848,undef,24.0,,,,,,,,,,,,,,,False,False
34849,phys,100.0,2024-07-22 22:02:48,30198.0,49.95,3.25,49.06,2.21,-0.01,0.59,56.14,3.37,51.55,2.09,1.42,0.64,False,False
34850,undef,24.0,,,,,,,,,,,,,,,False,False
34851,undef,24.0,,,,,,,,,,,,,,,False,False
34852,phys,100.0,2024-07-23 14:51:56,27438.0,51.77,2.32,53.99,2.0,0.19,0.31,52.55,2.17,49.93,1.82,0.62,0.31,False,False
34853,phys,100.0,2024-07-23 23:50:43,56848.0,53.15,2.11,52.7,1.79,-0.02,0.15,51.44,1.96,50.46,1.64,0.17,0.14,False,False
34859,phys,100.0,2024-07-25 00:11:32,25353.0,53.5,2.5,56.01,2.17,-0.41,0.37,52.84,2.19,54.49,1.89,-0.12,0.33,False,False
34860,phys,100.0,2024-07-25 08:45:05,,54.84,2.62,54.84,2.62,-0.18,0.54,53.35,2.41,53.35,2.41,-0.04,0.74,True,True
34862,phys,100.0,2024-07-25 11:19:52,25315.0,52.08,2.19,50.99,1.87,0.4,0.33,53.74,2.21,52.13,1.87,0.89,0.34,False,False
34863,phys,100.0,2024-07-25 19:42:32,25082.0,51.13,2.29,49.1,1.96,0.39,0.35,52.99,2.27,50.16,1.91,0.74,0.35,False,False
34866,undef,100.0,,,52.12,2.74,52.12,2.74,-0.18,0.54,50.69,2.46,50.69,2.46,-0.04,0.74,True,True
34867,undef,24.0,,,,,,,,,,,,,,,False,False
34868,phys,100.0,2024-07-26 07:04:48,25393.0,52.92,2.22,49.99,1.89,0.59,0.33,53.32,2.21,51.53,1.88,0.69,0.34,False,False
34869,undef,24.0,,,,,,,,,,,,,,,False,False
34870,phys,100.0,2024-07-26 16:32:08,17611.0,49.7,2.45,48.76,1.97,0.17,0.62,53.4,2.63,55.81,2.08,0.31,0.69,False,False
34872,phys,100.0,2024-07-27 00:46:49,23113.0,51.86,2.15,50.7,1.82,0.53,0.36,50.58,2.18,47.56,1.83,0.62,0.37,False,False
34873,phys,100.0,2024-07-27 08:35:34,25058.0,53.47,2.2,51.01,1.87,0.44,0.33,53.72,2.2,55.16,1.92,-0.35,0.34,False,False
34874,phys,100.0,2024-07-27 17:22:11,30929.0,50.35,2.4,48.67,1.88,0.33,0.35,53.26,2.33,49.93,1.75,1.3,0.36,False,False
34875,phys,100.0,2024-07-28 03:17:44,,52.28,2.76,52.28,2.76,-0.18,0.54,51.05,2.36,51.05,2.36,-0.04,0.74,True,True
34877,phys,100.0,2024-07-28 04:59:09,18782.0,52.76,2.07,51.2,1.78,0.68,0.41,52.8,2.2,51.23,1.89,0.75,0.45,False,False
34878,phys,100.0,2024-07-28 12:09:38,22722.0,52.61,2.27,50.87,1.92,0.56,0.38,53.32,2.3,52.09,1.91,1.04,0.4,False,False
34880,phys,100.0,2024-07-29 00:41:19,23576.0,52.56,2.24,51.56,1.93,-0.0,0.36,50.18,2.25,50.98,1.91,0.18,0.37,False,False
34881,phys,100.0,2024-07-29 08:37:57,7359.0,50.16,2.62,50.16,2.62,-0.18,0.54,50.12,2.5,50.12,2.5,-0.04,0.74,True,True
34884,phys,100.0,2024-07-30 02:38:09,26140.0,54.34,2.42,54.12,2.1,-0.02,0.34,50.23,2.22,51.49,1.9,0.05,0.33,False,False
34887,phys,100.0,2024-07-30 21:56:37,19029.0,51.5,2.45,51.65,2.13,-0.34,0.48,51.12,2.13,52.08,1.83,0.3,0.43,False,False
34888,phys,100.0,2024-07-31 04:32:49,11174.0,52.54,2.23,48.66,1.92,1.62,0.69,54.54,3.06,53.35,2.65,0.81,1.0,False,False
34896,phys,100.0,2024-08-02 01:40:58,29371.0,49.61,2.14,49.22,1.82,0.51,0.28,54.86,2.49,55.81,2.15,0.39,0.31,False,False
34897,undef,0.0,2024-08-02 11:05:39,25018.0,,,,,,,,,,,,,False,False
34898,phys,100.0,2024-08-02 19:24:55,,54.61,2.34,54.61,2.34,-0.18,0.54,53.83,4.52,53.91,4.52,-0.04,0.74,True,True
34899,phys,100.0,2024-08-02 20:41:31,26020.0,50.14,2.4,49.65,2.2,0.25,0.85,54.77,3.18,50.15,2.82,2.15,0.65,False,False
34902,phys,100.0,2024-08-03 11:03:26,17174.0,53.03,2.61,52.44,2.17,0.31,0.64,54.01,3.75,54.9,3.06,0.19,0.98,False,False
34905,undef,100.0,,,47.72,2.25,47.72,2.25,-0.18,0.54,45.18,2.13,45.18,2.13,-0.04,0.74,True,True
34906,phys,100.0,2024-08-04 04:15:38,35026.0,44.04,1.99,44.22,1.67,-0.2,0.23,51.31,3.21,50.39,2.56,0.35,0.34,False,False
34907,phys,100.0,2024-08-04 15:27:16,18484.0,52.27,2.32,55.04,2.01,-0.52,0.48,60.85,3.62,63.25,3.07,-0.86,0.8,False,False
34908,phys,100.0,2024-08-04 21:57:11,22477.0,50.41,2.28,50.98,1.96,-0.25,0.39,53.53,2.17,54.42,1.88,0.06,0.36,False,False
34909,phys,100.0,2024-08-05 05:28:58,23093.0,50.19,2.32,51.21,1.97,0.1,0.39,54.09,2.18,54.3,1.9,0.1,0.34,False,False
34910,phys,100.0,2024-08-05 14:31:22,22772.0,50.43,2.22,51.24,1.9,0.47,0.37,54.32,2.38,53.5,2.08,0.33,0.37,False,False
34911,phys,100.0,2024-08-05 22:23:03,,52.76,1.73,52.76,1.73,-0.18,0.54,54.73,2.37,54.73,2.37,-0.04,0.74,True,True
34912,phys,100.0,2024-08-06 01:17:51,18433.0,58.28,2.68,55.45,1.99,1.44,0.7,59.03,2.9,57.0,2.32,0.94,0.69,False,False
34913,phys,100.0,2024-08-06 07:49:32,13815.0,51.83,2.61,51.83,2.61,-0.18,0.54,57.35,2.72,57.35,2.72,-0.04,0.74,True,True
34915,undef,100.0,,,54.42,2.86,54.42,2.86,-0.18,0.54,54.02,3.01,54.2,3.01,-0.04,0.74,True,True
34916,undef,24.0,,,,,,,,,,,,,,,False,False
